,1stServesIn,1stWon,2ndWon,win
419,59,93,45,1
420,60,76,56,1
421,51,80,52,1
422,52,81,58,1
423,50,91,57,1
424,69,79,68,1
425,60,79,55,1
426,49,67,51,1
427,61,75,64,1
428,55,69,47,1
429,55,89,69,1
430,48,76,41,1
431,50,85,57,1
432,74,75,78,1
433,45,82,53,1
434,60,77,56,1
435,55,78,60,1
436,63,66,54,1
437,65,78,47,1
438,52,68,59,1
439,62,81,45,1
440,59,80,74,1
441,58,74,45,1
442,59,73,66,1
443,61,68,50,1
444,63,76,55,1
445,61,76,48,1
446,60,84,52,1
447,52,60,54,1
448,62,70,63,1
449,49,77,56,1
450,58,74,63,1
451,66,72,63,1
452,60,70,50,1
453,54,76,37,1
454,56,68,29,1
455,50,92,65,1
456,56,64,47,1
457,55,80,76,1
458,50,60,57,1
459,63,72,60,1
460,44,57,75,1
461,64,74,78,1
462,60,78,66,1
463,56,71,51,1
464,61,90,51,1
465,55,79,47,1
466,52,63,54,1
467,62,70,63,1
468,55,83,42,1
469,53,85,37,1
470,67,77,47,1
471,60,61,55,1
472,59,77,60,1
473,65,76,50,1
474,58,81,42,1
475,66,80,61,1
476,41,79,61,1
477,45,70,51,1
478,65,67,52,1
479,58,91,75,1
480,64,84,78,1
481,65,88,54,1
482,60,67,70,1
483,55,61,64,1
484,59,85,46,1
485,63,82,62,1
486,62,86,44,1
487,72,70,34,1
488,64,72,61,1
489,60,74,44,1
490,57,65,59,1
491,62,71,56,1
492,61,81,85,1
493,63,84,50,1
494,56,66,57,1
495,43,81,52,1
496,60,88,68,1
497,64,76,66,1
498,59,75,55,1
499,64,78,55,1
500,63,77,50,1
501,58,87,52,1
502,61,63,53,1
503,54,80,72,1
504,59,70,48,1
505,48,80,77,1
506,64,71,50,1
507,66,77,68,1
508,57,62,53,1
509,59,69,70,1
510,53,80,45,1
511,63,82,64,1
512,64,80,47,1
513,62,76,56,1
514,68,91,35,1
515,48,86,45,1
516,57,68,34,1
517,64,76,55,1
518,52,82,61,1
519,59,72,56,1
520,55,69,44,1
521,68,84,50,1
522,54,84,40,1
523,71,82,42,1
524,78,60,57,1
525,56,70,41,1
526,62,82,38,1
527,56,90,47,1
528,50,77,54,1
529,58,66,55,1
530,57,63,50,1
531,54,76,54,1
532,60,87,47,1
533,56,81,56,1
534,61,76,54,1
535,57,70,46,1
536,67,63,74,1
537,56,65,51,1
538,50,76,52,1
539,51,78,53,1
540,66,76,56,1
541,61,94,76,1
542,59,72,59,1
543,50,82,52,1
544,48,70,57,1
545,41,81,55,1
546,57,77,60,1
547,56,72,54,1
548,52,72,48,1
549,66,82,64,1
550,63,81,45,1
551,61,74,37,1
552,56,68,67,1
553,61,70,59,1
554,42,67,60,1
555,65,79,47,1
556,77,55,93,1
557,53,64,64,1
558,58,89,80,1
559,54,72,52,1
560,52,85,48,1
561,63,75,52,1
562,53,68,71,1
563,51,70,55,1
564,61,80,64,1
565,51,91,51,1
566,45,77,50,1
567,53,76,55,1
568,54,74,57,1
569,74,64,50,1
570,45,95,64,1
571,60,92,31,1
572,60,71,41,1
573,60,77,50,1
574,67,86,50,1
575,56,63,35,1
576,57,61,45,1
577,56,73,51,1
578,72,82,60,1
579,66,81,70,1
580,70,86,41,1
581,43,79,62,1
582,60,85,66,1
583,49,87,68,1
584,53,80,45,1
585,61,81,60,1
586,63,61,63,1
587,67,64,58,1
588,57,83,55,1
589,54,69,56,1
590,43,71,50,1
591,57,63,53,1
592,65,80,62,1
593,63,75,54,1
594,69,70,68,1
595,67,79,50,1
596,59,77,50,1
597,52,81,67,1
598,49,79,56,1
599,60,72,58,1
600,72,69,45,1
601,47,69,62,1
602,56,66,58,1
603,50,75,50,1
604,51,83,52,1
605,51,82,54,1
606,49,82,46,1
607,47,75,55,1
608,62,83,47,1
609,43,80,52,1
610,48,65,64,1
611,41,86,61,1
612,52,74,60,1
613,51,85,51,1
614,58,81,78,1
615,42,65,58,1
616,67,61,60,1
617,53,76,59,1
618,72,93,50,1
619,56,64,51,1
620,53,100,83,1
621,23,100,75,1
622,51,91,51,1
623,58,69,54,1
624,60,62,66,1
625,66,74,60,1
626,62,91,47,1
627,70,62,66,1
628,51,90,64,1
629,62,83,72,1
630,60,78,48,1
631,42,78,54,1
632,60,68,58,1
633,56,86,50,1
634,54,80,53,1
635,55,73,53,1
636,47,85,50,1
637,50,77,46,1
638,54,83,58,1
639,57,92,68,1
640,47,65,51,1
641,54,77,56,1
642,53,79,62,1
643,51,87,58,1
644,61,83,51,1
645,58,85,60,1
646,60,86,41,1
647,60,73,51,1
648,56,75,63,1
649,60,73,52,1
650,42,95,63,1
651,50,83,42,1
652,60,86,78,1
653,61,84,50,1
654,60,70,49,1
655,51,66,52,1
656,44,78,67,1
657,37,86,64,1
658,53,85,53,1
659,46,75,63,1
660,56,91,66,1
661,54,72,51,1
662,52,91,68,1
663,49,86,43,1
664,61,27,40,1
665,60,79,57,1
666,64,70,63,1
667,55,79,50,1
668,51,66,50,1
669,59,80,44,1
670,50,94,37,1
671,65,75,50,1
672,65,75,55,1
673,46,72,64,1
674,54,85,73,1
675,55,80,52,1
676,77,85,70,1
677,56,78,66,1
678,50,87,64,1
679,74,63,68,1
680,60,79,60,1
681,34,76,62,1
682,59,80,56,1
683,53,91,66,1
684,56,78,76,1
685,60,86,35,1
686,57,61,47,1
687,60,86,57,1
688,75,77,66,1
689,50,84,53,1
690,61,84,58,1
691,60,72,54,1
692,55,76,57,1
693,50,87,46,1
694,60,90,70,1
695,60,75,68,1
696,52,91,67,1
697,60,88,59,1
698,65,70,46,1
699,57,68,57,1
700,45,69,41,1
701,45,83,60,1
702,60,77,72,1
703,51,69,55,1
704,50,77,50,1
705,67,72,56,1
706,40,65,46,1
707,53,77,55,1
708,67,69,52,1
709,48,75,45,1
710,58,84,39,1
711,46,86,51,1
712,67,74,47,1
713,61,55,54,1
714,51,88,54,1
715,61,69,52,1
716,33,66,52,1
717,47,80,48,1
718,61,82,56,1
719,35,82,58,1
720,50,82,57,1
721,50,71,45,1
722,74,82,57,1
723,64,68,47,1
724,75,62,50,1
725,51,68,69,1
726,48,82,45,1
727,52,82,42,1
728,41,80,54,1
729,59,88,51,1
730,52,94,68,1
731,43,76,59,1
732,69,76,69,1
733,56,77,40,1
734,64,76,60,1
735,70,73,52,1
736,56,61,30,1
737,79,84,50,1
738,67,70,66,1
739,69,71,57,1
740,69,70,61,1
741,61,45,57,1
742,63,80,47,1
743,79,66,30,1
744,71,81,53,1
745,57,67,58,1
746,71,64,48,1
747,59,80,61,1
748,53,56,58,1
749,58,77,59,1
750,70,78,68,1
751,68,71,56,1
752,59,67,73,1
753,64,61,65,1
754,70,73,56,1
755,67,63,55,1
756,68,71,76,1
757,60,67,47,1
758,79,74,53,1
759,58,88,75,1
760,63,67,50,1
761,72,66,62,1
762,77,64,65,1
763,66,63,46,1
764,64,62,61,1
765,60,87,69,1
766,50,72,51,1
767,67,79,65,1
768,62,71,71,1
769,54,76,55,1
770,55,79,50,1
771,66,63,50,1
772,66,84,57,1
773,41,78,47,1
774,55,70,41,1
775,66,63,66,1
776,54,84,34,1
777,42,84,50,1
778,53,85,56,1
779,54,70,70,1
780,50,82,54,1
781,58,89,64,1
782,70,91,80,1
783,49,88,50,1
784,62,60,57,1
785,69,75,26,1
786,58,82,67,1
787,52,72,52,1
788,64,81,46,1
789,58,90,66,1
790,54,77,60,1
791,49,83,59,1
792,65,62,57,1
793,69,74,45,1
794,61,78,41,1
795,63,70,51,1
796,57,72,63,1
797,52,72,63,1
798,52,74,45,1
799,62,79,62,1
800,55,67,56,1
801,57,86,59,1
802,45,85,62,1
803,51,75,59,1
804,60,69,63,1
805,34,73,61,1
806,55,76,65,1
807,64,73,38,1
808,59,68,58,1
809,57,78,61,1
810,46,78,62,1
811,55,79,57,1
812,54,87,46,1
813,66,73,52,1
814,56,71,52,1
815,63,83,52,1
816,52,78,43,1
817,67,78,54,1
818,66,75,61,1
819,44,81,52,1
820,58,67,50,1
821,60,75,47,1
822,57,83,60,1
823,66,70,40,1
824,53,71,67,1
825,50,88,77,1
826,75,70,23,1
827,68,75,58,1
828,54,80,52,1
829,60,74,64,1
830,83,77,71,1
831,68,75,69,1
832,69,71,40,1
833,50,76,50,1
834,57,67,53,1
835,55,84,48,1
836,50,67,54,1
837,68,71,47,1
838,62,73,51,1
839,67,88,53,1
840,68,78,51,1
841,70,66,41,1
842,55,80,75,1
843,65,65,66,1
844,41,73,66,1
845,51,91,50,1
846,33,94,55,1
847,62,69,76,1
848,55,93,64,1
849,66,74,54,1
850,51,68,43,1
851,55,71,55,1
852,54,71,62,1
853,55,80,44,1
854,56,76,56,1
855,47,76,38,1
856,45,92,48,1
857,53,68,51,1
858,61,66,48,1
859,54,86,44,1
860,52,78,44,1
861,52,81,34,1
862,47,73,72,1
863,57,66,37,1
864,59,80,52,1
865,73,72,44,1
866,56,63,59,1
867,68,70,56,1
868,61,83,47,1
869,54,71,55,1
870,52,67,68,1
871,50,77,50,1
872,57,78,45,1
873,52,81,66,1
874,66,81,62,1
875,69,56,51,1
876,52,70,66,1
877,68,90,71,1
878,56,74,67,1
879,50,84,74,1
880,48,100,76,1
881,54,72,53,1
882,61,78,60,1
883,50,84,69,1
884,46,100,68,1
885,50,84,56,1
886,73,64,61,1
887,38,84,54,1
888,50,80,72,1
889,51,75,50,1
890,68,83,42,1
891,50,87,58,1
892,53,86,53,1
893,48,81,40,1
894,59,55,49,1
895,48,75,52,1
896,52,68,62,1
897,54,67,61,1
898,55,79,70,1
899,74,69,33,1
900,78,64,63,1
901,60,69,60,1
902,57,75,42,1
903,62,79,50,1
904,61,71,54,1
905,77,81,63,1
906,62,76,72,1
907,68,67,42,1
908,43,77,45,1
909,63,77,47,1
910,54,80,53,1
911,56,74,61,1
912,45,83,48,1
913,62,82,54,1
914,52,90,34,1
915,54,79,43,1
916,68,78,61,1
917,64,84,44,1
918,64,75,43,1
919,60,73,51,1
920,57,89,40,1
921,69,75,48,1
922,64,66,67,1
923,55,75,46,1
924,61,75,45,1
925,60,89,57,1
926,51,80,59,1
927,58,77,59,1
928,52,92,58,1
929,51,72,53,1
930,59,78,44,1
931,47,78,65,1
932,58,86,69,1
933,36,88,68,1
934,59,78,44,1
935,63,79,55,1
936,55,78,52,1
937,59,75,65,1
938,58,88,52,1
939,66,72,47,1
940,60,85,40,1
941,45,72,43,1
942,62,82,52,1
943,62,77,36,1
944,41,82,70,1
945,40,84,57,1
946,50,81,68,1
947,65,79,53,1
948,53,90,50,1
949,55,81,61,1
950,41,75,55,1
951,63,84,57,1
952,55,78,65,1
953,55,77,65,1
954,72,69,48,1
955,59,77,57,1
956,67,67,63,1
957,63,79,60,1
958,42,70,62,1
959,56,73,55,1
960,53,76,70,1
961,37,81,46,1
962,46,78,65,1
963,50,88,61,1
964,50,83,57,1
965,60,93,47,1
966,63,78,56,1
967,60,91,54,1
968,67,72,52,1
969,74,75,60,1
970,65,75,46,1
971,50,77,52,1
972,50,71,57,1
973,49,81,60,1
974,68,65,60,1
975,74,75,42,1
976,54,81,42,1
977,43,89,54,1
978,67,77,54,1
979,53,73,57,1
980,51,89,52,1
981,48,92,55,1
982,61,72,58,1
983,56,82,46,1
984,62,67,48,1
985,55,69,44,1
986,36,79,52,1
987,62,80,50,1
988,40,82,51,1
989,60,96,70,1
990,48,75,46,1
991,62,85,46,1
992,63,63,64,1
993,45,76,56,1
994,52,94,53,1
995,54,82,53,1
996,47,83,70,1
997,50,78,60,1
998,49,78,71,1
999,46,95,52,1
1000,56,71,81,1
1001,59,74,55,1
1002,51,72,52,1
1003,50,79,67,1
1004,55,84,54,1
1005,66,68,64,1
1006,57,85,45,1
1007,56,90,58,1
1008,46,63,60,1
1009,65,73,41,1
1010,57,75,52,1
1011,52,96,56,1
1012,65,63,46,1
1013,70,77,41,1
1014,48,77,82,1
1015,49,66,58,1
1016,58,78,42,1
1017,53,89,45,1
1018,50,92,50,1
1019,60,84,72,1
1020,62,80,63,1
1021,45,74,57,1
1022,51,76,50,1
1023,53,83,58,1
1024,52,86,54,1
1025,44,90,62,1
1026,58,80,35,1
1027,57,73,42,1
1028,45,100,60,1
1029,49,65,60,1
1030,43,61,62,1
1031,58,75,48,1
1032,59,89,48,1
1033,53,67,59,1
1034,42,70,62,1
1035,45,81,65,1
1036,57,86,45,1
1037,50,78,59,1
1038,49,72,80,1
1039,57,75,50,1
1040,43,92,51,1
1041,29,100,76,1
1042,52,83,62,1
1043,43,88,55,1
1044,58,78,52,1
1045,60,70,48,1
1046,38,81,54,1
1047,48,80,54,1
1048,56,86,61,1
1049,43,89,50,1
1050,56,67,53,1
