,winner_ht,loser_ht,w_#ServePoints,w_%1stServesIn,w_%1stWon,w_%2ndWon,w_#bpFaced,l_#ServePoints,l_%1stServesIn,l_%1stWon,l_%2ndWon,l_#bpFaced
171545,208.0,188.0,61.0,57,85,61,5.0,65.0,60,66,65,5.0
171546,193.0,208.0,106.0,67,77,55,4.0,105.0,60,84,56,9.0
171547,183.0,185.0,86.0,54,65,46,10.0,75.0,58,59,48,11.0
171548,183.0,180.0,87.0,58,70,55,10.0,71.0,61,77,33,3.0
171549,185.0,180.0,51.0,49,76,53,2.0,58.0,46,59,35,12.0
171550,193.0,190.0,62.0,58,75,42,3.0,77.0,55,53,47,9.0
171551,180.0,188.0,82.0,60,80,43,3.0,80.0,62,72,43,10.0
171552,203.0,193.0,63.0,53,85,55,2.0,54.0,66,77,44,2.0
171553,193.0,190.0,63.0,66,76,52,2.0,45.0,57,80,47,2.0
171554,193.0,190.0,47.0,65,90,62,3.0,52.0,63,72,31,7.0
171555,185.0,185.0,108.0,61,83,54,4.0,129.0,59,77,44,12.0
171556,185.0,193.0,99.0,51,78,56,10.0,104.0,59,77,40,10.0
171557,188.0,173.0,103.0,66,63,55,7.0,114.0,58,68,44,13.0
171558,208.0,193.0,104.0,63,87,60,2.0,115.0,48,85,49,6.0
171559,198.0,185.0,62.0,56,88,62,5.0,86.0,50,65,55,5.0
171560,193.0,188.0,33.0,60,85,69,1.0,39.0,43,76,54,3.0
171561,193.0,185.0,61.0,57,68,53,6.0,58.0,50,68,31,14.0
171562,178.0,188.0,64.0,59,78,53,6.0,63.0,61,74,29,6.0
171563,188.0,183.0,48.0,52,84,47,2.0,56.0,64,66,50,7.0
171564,180.0,198.0,71.0,69,71,54,6.0,67.0,53,63,48,7.0
171565,188.0,183.0,90.0,64,68,59,5.0,83.0,46,79,50,7.0
171566,183.0,185.0,39.0,74,89,60,0.0,44.0,45,75,33,6.0
171567,206.0,175.0,74.0,70,90,50,2.0,68.0,50,79,50,4.0
171568,185.0,196.0,55.0,52,72,65,6.0,62.0,41,76,33,10.0
171569,180.0,175.0,72.0,69,68,72,7.0,74.0,60,73,34,6.0
171570,193.0,185.0,57.0,57,84,58,1.0,73.0,60,63,48,9.0
171571,183.0,183.0,85.0,50,81,57,6.0,90.0,52,70,53,4.0
171572,185.0,183.0,46.0,50,78,82,0.0,61.0,50,67,53,9.0
171573,193.0,180.0,73.0,69,76,50,3.0,75.0,56,66,51,8.0
171574,203.0,185.0,14.0,57,100,66,0.0,16.0,56,66,28,3.0
171575,178.0,193.0,61.0,49,63,58,7.0,63.0,52,66,40,9.0
171576,193.0,185.0,81.0,64,63,48,4.0,78.0,46,66,42,10.0
171577,188.0,185.0,59.0,69,80,44,3.0,59.0,61,66,47,6.0
171578,208.0,198.0,60.0,68,82,73,0.0,64.0,51,75,67,3.0
171579,180.0,198.0,37.0,51,84,61,2.0,45.0,60,66,50,4.0
171580,193.0,193.0,53.0,64,76,78,0.0,66.0,48,71,44,4.0
171581,188.0,178.0,88.0,42,72,45,11.0,98.0,44,70,35,16.0
171582,196.0,180.0,49.0,71,80,71,1.0,54.0,61,60,42,7.0
171583,196.0,188.0,82.0,57,85,60,2.0,74.0,51,71,58,5.0
171584,183.0,206.0,112.0,57,78,66,4.0,94.0,64,91,60,5.0
171585,185.0,180.0,59.0,62,72,50,4.0,71.0,49,51,58,9.0
171586,188.0,193.0,66.0,59,76,66,3.0,77.0,61,70,40,5.0
171587,183.0,185.0,71.0,52,70,70,3.0,66.0,65,69,56,6.0
171588,203.0,193.0,92.0,60,80,58,9.0,90.0,72,70,48,5.0
171589,178.0,193.0,52.0,57,80,63,4.0,54.0,61,66,47,6.0
171590,188.0,208.0,65.0,73,89,35,2.0,65.0,61,70,44,5.0
171591,193.0,180.0,104.0,50,69,45,9.0,93.0,58,72,43,9.0
171592,196.0,188.0,46.0,67,80,73,0.0,62.0,54,70,32,8.0
171593,196.0,183.0,91.0,63,87,54,1.0,99.0,56,82,53,5.0
171594,188.0,185.0,50.0,68,79,68,5.0,71.0,39,67,44,10.0
171595,183.0,203.0,46.0,60,82,55,2.0,51.0,50,57,44,10.0
171596,178.0,188.0,99.0,61,67,52,13.0,90.0,68,61,42,10.0
171597,193.0,196.0,69.0,59,82,50,4.0,46.0,73,82,50,4.0
171598,188.0,196.0,86.0,48,78,50,8.0,72.0,50,75,50,4.0
